edge_id,origin_id,destination_id,key,street_name,highway_type,length_m,lanes,maxspeed_kmh,oneway,base_time_min,base_risk,surface_quality,has_coverage,origin_lat,origin_lon,destination_lat,destination_lon
1,31432048,1198689246,0,Avenida de Portugal,trunk,658.33,2,50,True,0.79,0.15,0.85,True,42.5840395,-5.5955523,42.58481,-5.5875797
2,35317211,267837959,0,,trunk_link,710.21,1,70,True,0.6087,0.25,0.85,True,42.6201373,-5.5834189,42.6196276,-5.5805822
3,35317211,11179451718,0,Carretera Gijón a Puerto de Sevilla,trunk,299.01,2,80,False,0.2243,0.15,0.85,True,42.6201373,-5.5834189,42.6179876,-5.581224
4,35317211,267838089,0,Carretera Gijón a Puerto de Sevilla,trunk,276.92,2,80,False,0.2077,0.15,0.85,True,42.6201373,-5.5834189,42.6221423,-5.5854264
5,35317213,11179451718,0,Carretera Gijón a Puerto de Sevilla,trunk,82.14,2,80,False,0.0616,0.15,0.85,True,42.6173934,-5.5806276,42.6179876,-5.581224
6,35317213,11214160174,0,Carretera Gijón a Puerto de Sevilla,trunk,281.53,2,80,False,0.2111,0.15,0.85,True,42.6173934,-5.5806276,42.6153488,-5.5785995
7,35317217,417962928,0,Carretera Asturias,primary,4.77,2,30,False,0.0095,0.3,0.85,True,42.6134295,-5.5777877,42.613388,-5.5777729
8,35317217,945286452,0,Carretera Asturias,primary,31.13,2,30,False,0.0623,0.3,0.85,True,42.6134295,-5.5777877,42.6137021,-5.5778742
9,35317217,722618559,0,Calle Ponjos,residential,98.99,1,30,False,0.198,0.6,0.85,True,42.6134295,-5.5777877,42.6135832,-5.5789792
10,48404653,13030496310,0,Carretera de Zamora,primary,41.31,2,50,True,0.0496,0.3,0.85,True,42.55549,-5.5828525,42.5558317,-5.5826545
11,48404653,13030488296,0,,primary,20.43,2,50,True,0.0245,0.3,0.85,True,42.55549,-5.5828525,42.5555862,-5.5830574
12,48515621,1770469364,0,Avenida de Los Antibióticos,primary,14.92,1,30,True,0.0298,0.3,0.85,True,42.5644368,-5.582117,42.5645706,-5.5821306
13,48515621,1770469301,0,Calle las Escuelas,residential,143.96,1,30,False,0.2879,0.6,0.85,True,42.5644368,-5.582117,42.5636124,-5.5807625
